id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,Tall og tallregning;Algebra og mønstre;Funksjoner;Programmering,,,
,config,,title,Matematikk 8. trinn,,,
,config,,description,"Tall og tallregning, algebra og mønstre, funksjoner og programmering — dekomponert i det elevene faktisk må kunne gjøre.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,mathematics,,,
,config,,storageKey,matte8-ferdighetstre-fullfort,,,
,config,,features.motivation,true,,,
,config,,slots.courseName,matematikk 8. trinn (norsk ungdomsskole),,,
,config,,slots.expressionFocus,"bytter om på ledd eller regnearter uten å endre svaret riktig (f.eks. ved feil bruk av den distributive egenskapen), glemmer å vise mellomregning, eller bruker likhetstegnet feil (f.eks. til å bety ""neste steg"" i stedet for faktisk likhet)",,,
,config,,slots.motivationSubject,matte,,,
potens-begrep,concept,Tall og tallregning,Potens,"En potens er et grunntall opphøyd i en eksponent. Grunntallet er tallet som multipliseres med seg selv, og eksponenten sier hvor mange ganger: 2⁵ betyr 2·2·2·2·2.",,0,
regne-med-potenser,skill,Tall og tallregning,Regne ut potenser,"regne ut verdien av potenser med naturlige eksponenter for hånd, og forklare framgangsmåten.",potens-begrep,0,"Gi eleven et sett potensuttrykk med naturlige eksponenter (f.eks. 3^4, 2^5, 10^3) og be dem regne ut verdien for hånd, og forklare hva grunntallet og eksponenten betyr i hvert uttrykk."
kvadratrot-begrep,concept,Tall og tallregning,Kvadratrot,Kvadratroten av et tall er det positive tallet som multiplisert med seg selv gir tallet under rottegnet.,potens-begrep,0,
regne-med-kvadratrotter,skill,Tall og tallregning,Regne ut og anslå kvadratrøtter,"regne ut kvadratroten av kvadrattall for hånd, og anslå kvadratroten av andre tall ved å finne hvilke to hele tall den ligger mellom.",kvadratrot-begrep,0,"Gi eleven noen kvadrattall (f.eks. 49, 121) og be dem finne kvadratroten for hånd. Gi også noen tall som ikke er kvadrattall (f.eks. 40) og be dem anslå kvadratroten ved å si hvilke to hele tall den ligger mellom, og begrunne hvilket av dem den ligger nærmest."
regneregler-kommutativ-assosiativ-distributiv-begrep,concept,Tall og tallregning,"Kommutativ, assosiativ og distributiv egenskap","Kommutativ egenskap: rekkefølgen kan byttes om. a + b = b + a, og a·b = b·a.
Assosiativ egenskap: tallene kan grupperes på en annen måte. (a + b) + c = a + (b + c), og det samme for multiplikasjon.
Distributiv egenskap: en faktor kan ganges inn i hvert ledd. a·(b + c) = a·b + a·c.",,0,
bruke-regneregler-hoderegning,skill,Tall og tallregning,Bruke smarte strategier til effektiv hoderegning,"gjøre et regnestykke enklere å regne ut ved å bytte om rekkefølgen på tallene, gruppere dem på en annen måte eller dele et tall opp i mindre deler før man ganger, og forklare hvorfor omregningen gir samme svar som det opprinnelige stykket.",,0,"Gi eleven regnestykker som blir enklere med en smart strategi (f.eks. 25·17·4, eller 98·6 regnet som (100-2)·6), og be dem regne ut svaret i hodet eller på papir ved å bytte om rekkefølgen, gruppere tallene annerledes, eller dele opp et tall, og forklare hvorfor strategien gir samme svar."
faktor-begrep,concept,Tall og tallregning,Faktor,"Et av tallene som multipliseres sammen i et produkt (f.eks. er 2 og 6 faktorer i 2 · 6 = 12), og kan gjenkjenne faktorene i et gitt regnestykke.",,0,
