id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,"Classroom management;Questions and discussion;Whiteboarding and sense-making;Feedback and presentation;How learning works;Motivation, anxiety and equity",,,
,config,,title,The LA seminar,,,
,config,,description,"Classroom management and the pedagogy underneath it: what a group teacher at UiO should be able to do in the room, and why it works.",,,
,config,,language,en,,,
,config,,languageName,English,,,
,config,,learner,participant,,,
,config,,subjectFamily,social-sciences,,,
,config,,storageKey,la-seminar-skill-tree-completed,,,
,config,,features.motivation,true,,,
,config,,slots.courseName,the LA seminar at the University of Oslo,,,
,config,,slots.motivationSubject,teaching,,,
,config,,slots.expressionFocus,"reports that a session went well or that the students were engaged without saying what the students were actually thinking about, calls any question open because it starts with why, or says the group understood it with nothing behind it but silence in the room",,,
,config,,slots.courseSpecifics,"This tree is the curriculum of a seminar for university teaching assistants, and the reader is one of them: a student or PhD student at the University of Oslo who has been hired to teach a weekly group session in their own subject. They know their subject well and have no formal training in teaching. Two things follow, and they hold for every node. FIRST, keep the two roles apart. The reader is the teacher in this tree. Wherever the tree says students, it means the people the reader teaches, and never the reader. SECOND, most of what this tree calls a skill is exercised on real people in a real room, and cannot be drilled in a chat. Do not set exercises as though it could be performed here. Rehearse it instead: play the student who gives a half-formed answer and let the reader respond; work through what they will actually say in the first five minutes of their next session; ask what happened when they tried it last week and what they will do differently. A tick on such a node means the reader has tried the thing with their own group and can account for how it went, not that they answered questions about it correctly. Say so plainly when a node is one of those, and close that conversation by agreeing what they will try, with which group, and when.",,,
rrr,concept,Classroom management,"Relationships, routines and rules","Relationship: what you have with each student in the group, and the most powerful tool you own.
Routine: what you do every single time, so that nobody has to be told what happens next.
Rule: what you expect of the group - arriving on time, staying quiet while someone explains, putting a hand up.",,,
flekkoyfisk,concept,Classroom management,Flekkøyfisk,"Flekkøyfisk: a small, specific interest someone is genuinely glad to talk about. Which one it is does not matter; knowing yours, and knowing each student's, is what makes a student feel seen as a person rather than a name on a list.",rrr,,
learn-names,skill,Classroom management,Learn your students' names,"learn the names and the faces of everyone in the group, and use them.",rrr,,
take-attendance,skill,Classroom management,Take attendance even where it is not required,"take attendance every session, and account for the three things it does at once: it teaches you the names, it makes students feel seen, and it makes turning up feel expected.",learn-names,,
contact-absentees,skill,Classroom management,Write to a student who did not turn up,"send a short message to a student who was absent, weighing the worst case, mild annoyance, against the best case, someone having a terrible week who finds out they were missed.",take-attendance,,
find-flekkoyfisk,skill,Classroom management,Find out what each student is glad to talk about,"find out, over the first weeks, one thing each student in the group lights up about, and use it.",flekkoyfisk;learn-names,,
design-routines,skill,Classroom management,Design the routines your session runs on,"decide what happens at the start and at the end of every session, and say what each routine is for, so that the group knows what to do without being told.",rrr;extraneous-load,,
