id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,"Kognitiv læringspsykologi;Motivasjon og matteangst;KI som verktøy i matematikk;Ferdighetstreet;Eksplisitt undervisning;Eksempler og oppgavedesign;Øving, gjenhenting og repetisjon;Formativ vurdering;Problemløsing og relasjonell forståelse;Veien videre",,,
,config,,title,Profag:KI-matematikk,,,
,config,,description,"Kognitiv læringspsykologi omsatt til undervisningsgrep i matematikk, og hvordan KI kan brukes til å gjennomføre dem.",,,
,config,,language,nb,,,
,config,,languageName,Norsk (bokmål),,,
,config,,learner,participant,,,
,config,,subjectFamily,social-sciences,,,
,config,,storageKey,profag-ki-matematikk-completed,,,
,config,,features.motivation,false,,,
,config,,slots.courseName,Profag:KI-matematikk,,,
,config,,slots.expressionFocus,"skriver at en økt gikk fint eller at elevene var engasjerte, uten å si hva elevene faktisk tenkte på; sier at et opplegg er tilpasset uten å si hva som ble gjort annerledes for hvem; og skriver at eleven ikke forstår brøk der det finnes en bestemt misoppfatning som kunne vært navngitt",,,
,config,,slots.courseSpecifics,"Dette treet er pensum i et etterutdanningskurs for matematikklærere i videregående skole, og leseren er en av dem: en lærer som kan matematikk godt, som underviser elever i faresonen for å stryke, og som har ulik og ofte tilfeldig erfaring med KI fra før. Tre ting følger, og de gjelder hver eneste node. FØRST: hold rollene fra hverandre. Leseren er læreren i dette treet. Der treet sier elev, menes de leseren underviser - aldri leseren selv. DERETTER: skill mellom de to slagene noder her. Noen kan øves her og nå i en chat, fordi de handler om å lage undervisningsmateriale - et eksempelpar, en oppgavesekvens, et diagnostisk spørsmål, en ledetekst. Der skal du faktisk lage noe sammen med leseren, på leserens eget emne, og være streng på kvaliteten. Andre handler om hva læreren gjør i et rom med ekte elever, og kan ikke drilles i en chat. Der skal du ikke late som om de kan det: spill heller eleven som svarer halvveis og la leseren svare, gå gjennom hva leseren faktisk skal si i de første fem minuttene av neste time, eller spør hva som skjedde sist leseren prøvde det. En avkryssing på en slik node betyr at leseren har prøvd det med sin egen klasse og kan gjøre rede for hvordan det gikk - ikke at leseren svarte riktig om det. Si tydelig fra hvilket av de to slagene noden er, og avslutt en samtale av det andre slaget med å bli enige om hva leseren skal prøve, i hvilken klasse, og når. TIL SLUTT: kurset handler om KI brukt til å undervise matematikk, ikke om ett bestemt verktøy. Anta at leseren har en vanlig KI-chat tilgjengelig, ikke at leseren har bygget noe selv, og husk at det som gjelder personopplysninger avgjøres av skoleeiers avtale og ikke av hva en tjeneste kan få til.",,,
arbeidsminne,concept,Kognitiv læringspsykologi,Arbeidsminne og langtidsminne,"Arbeidsminne: der du tenker akkurat nå. Det rommer bare noen få nye elementer om gangen, og det som ligger der, er borte i løpet av sekunder hvis det ikke bearbeides.
Langtidsminne: der det du kan, ligger lagret. Det har ingen kjent grense, og kunnskap derfra belaster ikke arbeidsminnet slik noe nytt gjør.",,,
gruppering,concept,Kognitiv læringspsykologi,Gruppering av informasjon,"Gruppering av informasjon: at flere elementer som hører sammen, regnes som ett i arbeidsminnet når de er godt nok innlært. Å løse 2x + 3 = 11 er fem ting for en elev som ikke har gjort det før, og én ting for en som har.",arbeidsminne,,
novise-ekspert,concept,Kognitiv læringspsykologi,Novise og ekspert,"Novise: en som mangler de lagrede mønstrene faget hviler på, og derfor må holde hvert steg i arbeidsminnet samtidig.
Ekspert: en som har mønstrene lagret, og derfor ser et problem som en type framfor som en haug med detaljer. Det som virker for den ene, virker ofte ikke for den andre.",arbeidsminne;gruppering,,
kognitiv-belastning,concept,Kognitiv læringspsykologi,Kognitiv belastning,"Indre belastning: den delen som kommer av at stoffet i seg selv er vanskelig.
Ytre belastning: den delen som kommer av hvordan stoffet er presentert, og som ikke lærer eleven noe.
Produktiv belastning: den delen av arbeidet som faktisk går med til å bygge kunnskap i langtidsminnet.",arbeidsminne,,
delt-oppmerksomhet,concept,Kognitiv læringspsykologi,Delt oppmerksomhet og redundans,"Delt oppmerksomhet: at eleven må holde to kilder sammen i hodet for å forstå noe - figuren ett sted, forklaringen et annet.
Redundans: at det samme gis to ganger samtidig, for eksempel tekst på skjermen som læreren leser høyt. Begge bruker arbeidsminne på noe annet enn faget.",kognitiv-belastning,,
oppmerksomhetsprinsippet,concept,Kognitiv læringspsykologi,Oppmerksomhetsprinsippet,"Oppmerksomhetsprinsippet: eleven husker det eleven faktisk tenkte på under en aktivitet, ikke det aktiviteten var ment å lære bort.",arbeidsminne,,
analysere-belastning,skill,Kognitiv læringspsykologi,Analysere hva en oppgave krever av arbeidsminnet,gå gjennom en oppgave eller en gjennomgang fra eget fag og gjøre rede for hvor mange nye elementer den krever samtidig av en elev som ikke har forkunnskapene.,kognitiv-belastning;novise-ekspert,,
rydde-ytre-belastning,skill,Kognitiv læringspsykologi,Rydde ytre belastning ut av eget materiale,"rette en presentasjon, et oppgaveark eller en tavleforklaring slik at figur og forklaring står sammen, og slik at ingenting sies og vises samtidig.",delt-oppmerksomhet,,
vurdere-hva-eleven-tenker-pa,skill,Kognitiv læringspsykologi,Vurdere hva en aktivitet får elevene til å tenke på,"gå gjennom en planlagt aktivitet og avgjøre hva elevene kommer til å bruke oppmerksomheten på, og om det er det samme som det de skal sitte igjen med.",oppmerksomhetsprinsippet,,
matteangst,concept,Motivasjon og matteangst,Matteangst,"Matteangst: uro knyttet til matematikk som legger beslag på arbeidsminne, og som derfor senker prestasjonen uavhengig av hva eleven faktisk kan.",arbeidsminne,,
prestasjon-for-motivasjon,concept,Motivasjon og matteangst,Prestasjon før motivasjon,Prestasjon før motivasjon: at følelsen av å mestre noe kommer av å ha fått det til. Motivasjon er oftere et resultat av læring enn en forutsetning for den.,,,
hensikt,concept,Motivasjon og matteangst,Hensikt og relevans,"Hensikt: at eleven vet hvorfor akkurat dette er verdt å lære nå, og hva det åpner for videre.
Relevans: at stoffet kles i en virkelighetsnær innpakning. Det første virker; det andre virker bare når det også gir hensikt.",,,
legge-opp-for-mestring,skill,Motivasjon og matteangst,Legge opp en økt slik at eleven lykkes tidlig,"velge inngangsoppgaver eleven faktisk klarer, og avslutte økta på noe eleven mestrer, framfor å åpne med det vanskeligste og slutte der det skar seg.",prestasjon-for-motivasjon;matteangst,,
begrunne-delmal,skill,Motivasjon og matteangst,Begrunne et delmål for elevene,"si kort og konkret hva et delmål skal brukes til og hvilket neste steg det åpner, framfor å lete etter en virkelighetsnær innpakning som ikke holder.",hensikt,,
drofte-motivasjon,skill,Motivasjon og matteangst,Drøfte hva som faktisk motiverer elever i matematikk,"drøfte påstanden om at elevene mangler motivasjon mot forklaringen at de mangler mestring, og gjøre rede for hvilke ulike tiltak de to leder til i egen klasse.",prestasjon-for-motivasjon;hensikt;matteangst,,
sprakmodell,concept,KI som verktøy i matematikk,Språkmodell,"Språkmodell: et program som er trent til å gjette hva som pleier å komme etter det som står, og som derfor produserer det som ser riktig ut - ikke det som er riktig.",,,
hallusinasjon,concept,KI som verktøy i matematikk,Hallusinasjon,"Hallusinasjon: en påstand modellen framfører like sikkert som alt annet, og som ikke stemmer. Den ser ut som resten av svaret, og det er nettopp derfor den er farlig i et fag der svaret enten er riktig eller galt.",sprakmodell,,
regning-og-resonnement,concept,KI som verktøy i matematikk,Regning og resonnement i en språkmodell,"Regning: å utføre et regnestykke. Modellen gjetter seg fram til det, og bommer på mellomregninger en kalkulator aldri ville bommet på.
Resonnement: å forklare, sammenligne, stille spørsmål og strukturere. Det er her modellen er sterk, og derfor er den nyttigere som forklarer enn som regnemaskin.",sprakmodell,,
ledetekst,concept,KI som verktøy i matematikk,Ledetekst,"Ledetekst: alt du gir modellen før den svarer - oppgaven, rollen den skal ha, hvem eleven er, hvilke ord som kan brukes fritt og hva svaret skal se ut som.",sprakmodell,,
personopplysninger,concept,KI som verktøy i matematikk,Personopplysninger i en KI-tjeneste,"Personopplysninger: alt som kan knyttes til en bestemt elev - navn, karakter, diagnose, en tekst eleven har skrevet. Hva som kan limes inn hvor, avgjøres av skoleeiers avtale, ikke av hva tjenesten klarer.",,,
skrive-ledetekst,skill,KI som verktøy i matematikk,Skrive en ledetekst som gir brukbart materiale,"skrive en ledetekst som sier hvem eleven er, hva målet er, hvilke ord eleven har møtt fra før og hva svaret skal se ut som - og rette den når svaret bommer, framfor å ta det første som kommer.",ledetekst,,
kontrollere-ki-svar,skill,KI som verktøy i matematikk,Kontrollere det KI-en lager før elevene ser det,"gå gjennom en KI-generert oppgave, fasit eller forklaring og finne feilene i den, ut fra at kontrollen er lærerens jobb og ikke elevens.",hallusinasjon;regning-og-resonnement,,
velge-tjeneste,skill,KI som verktøy i matematikk,Avgjøre hva som kan limes inn i hvilken KI-tjeneste,"avgjøre, for en konkret oppgave, om det som skal limes inn inneholder personopplysninger, og hvilken av skolens tjenester den i så fall hører hjemme i.",personopplysninger,,
ki-som-sparringspartner,skill,KI som verktøy i matematikk,Bruke KI som sparringspartner i egen planlegging,"bruke en KI-chat som motpart mens du planlegger - be om innvendinger, alternative forklaringer og hull i opplegget - framfor å be om et ferdig opplegg.",skrive-ledetekst;kontrollere-ki-svar,,
teste-en-bot,skill,KI som verktøy i matematikk,Prøve ut en KI-bot laget for elever og se hva den er bygget for,"prøve en ferdig elevbot, se hva den gjør når eleven svarer feil, gir opp eller ber om svaret, og gjøre rede for hvilke pedagogiske valg som ligger bak oppførselen.",skrive-ledetekst;regning-og-resonnement,,
ki-vurdere-belastning,skill,KI som verktøy i matematikk,Bruke KI til å vurdere belastningen i en oppgave,"be en KI-chat gå gjennom en oppgavetekst og peke på hvor mange nye elementer den krever samtidig, og vurdere svaret mot din egen analyse framfor å godta det.",skrive-ledetekst;analysere-belastning,,
ferdighetstre,concept,Ferdighetstreet,Ferdighetstre,"Ferdighetstre: et kart over et fag der hvert læringsmål er en node, og pilene sier hva som må sitte fra før. Eleven krysser av det de mestrer, og ser dermed hva som er innen rekkevidde nå.",,,
