id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,Fagmetode og feltarbeid;Populasjonsøkologi og forvaltning;Energistrøm og stoffkretsløp;Enzymer;Fotosyntese og celleånding;Genetisk kode og genuttrykk;Genteknologi;Arv og variasjon;Evolusjon og artsdannelse;Bioteknologi: bruk og etikk,,,
,config,,title,Biologi 2,,,
,config,,description,"Fagmetode og feltarbeid, populasjonsøkologi og forvaltning, energistrøm og stoffkretsløp, enzymer, fotosyntese og celleånding, genetisk kode og genuttrykk, genteknologi, arv og variasjon, evolusjon og bioteknologi — dekomponert i det elevene faktisk må kunne gjøre, med hjelpemiddelordningen fra våren 2027 lagt til grunn.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,natural-sciences,,,
,config,,storageKey,biologi2-ferdighetstre-fullfort,,,
,config,,features.motivation,false,,,
,config,,features.exams,true,,,
,config,,slots.courseName,biologi 2 (norsk videregående skole),,,
,config,,slots.expressionFocus,"blander sammen ord som ligner hverandre men betyr noe helt ulikt (f.eks. gen og allel, genotype og fenotype, transkripsjon og translasjon, mitose og meiose, art og populasjon), bruker ""genene endres"" eller ""arvestoffet muterer"" upresist der det er snakk om at en bestemt DNA-sekvens endres, skriver ""prosentandel"" der det egentlig menes en frekvens eller sannsynlighet (eller omvendt), oppgir et svar om dominant/recessiv arv uten å vise til et konkret krysningsskjema eller stamtre, eller bruker forkortelser (ATP, DNA, CRISPR osv.) uten å ha forklart hva de står for i teksten",,,
,config,,aids.label,Del,,,
,config,,aids.1.student,Helt uten hjelpemidler utover skrivesaker og linjal — ikke engang kalkulator. Du svarer kort og presist for hånd.,,,
,config,,aids.1.model,"Hjelpemidler: Dette gjelder del 1 av eksamen, helt uten hjelpemidler utover skrivesaker og linjal - ikke engang kalkulator. Forvent at eleven svarer kort og presist for hånd, uten oppslagsverk eller utregningshjelp. Eksamen tillater uansett ikke kunstig intelligens eller chatbot som hjelpemiddel i selve eksamensgjennomføringen - denne treningsøkten er forberedelse, ikke eksamen.",,,
,config,,aids.2.student,"Fra våren 2027 besvares denne delen for hånd. Du får bruke en enkel vitenskapelig kalkulator, egne notater på papir og trykte kilder som lærebøker — men ingen PC eller nettbrett, ingen digitale kilder, og ingen grafisk, likningsløsende eller programmerbar kalkulator.",,,
,config,,aids.2.model,"Hjelpemidler: Dette gjelder del 2 av eksamen, som fra våren 2027 skal besvares for hånd - ingen datamaskin/nettbrett i det hele tatt. Forvent at eleven bruker en enkel vitenskapelig kalkulator (kan regne med kvadratrøtter, logaritmer, sinus/cosinus/tangens og standardavvik), egne notater på papir og trykte kilder som lærebøker. Grafiske kalkulatorer og kalkulatorer som kan løse likninger, er programmerbare eller kan kommunisere med andre enheter, er IKKE tillatt - og heller ikke digitale kilder eller åpent internett. Eksamen tillater uansett ikke kunstig intelligens eller chatbot som hjelpemiddel i selve eksamensgjennomføringen - denne treningsøkten er forberedelse, ikke eksamen.",,,
hypotese,concept,Fagmetode og feltarbeid,Hypotese,"Hypotese: en presis, testbar påstand om sammenhengen mellom to eller flere variabler, som data enten kan styrke eller svekke.",,0,
uavhengig-avhengig-variabel,concept,Fagmetode og feltarbeid,Uavhengig og avhengig variabel,"Uavhengig variabel: den forskeren bevisst endrer, som temperatur eller substratmengde.
Avhengig variabel: det som måles som resultat, og som eventuelt endrer seg fordi den uavhengige ble endret - for eksempel reaksjonshastighet.",,0,
identifisere-variabler-i-forsok,skill,Fagmetode og feltarbeid,Identifisere variablene i et forsøk,"peke ut den uavhengige og den avhengige variabelen i en forsøksbeskrivelse, og si hvilke andre faktorer som må holdes konstante for at resultatet skal kunne tolkes.",uavhengig-avhengig-variabel,0,
kontrollert-forsok,concept,Fagmetode og feltarbeid,Kontrollert forsøk,"Kontrollert forsøk: alle faktorer utenom den uavhengige variabelen holdes like/konstante mellom gruppene, gjerne med en egen kontrollgruppe uten den undersøkte faktoren, slik at effekten av akkurat denne faktoren kan isoleres.",,0,
vurdere-forsoksdesign,skill,Fagmetode og feltarbeid,Vurdere om et forsøksdesign er egnet til å teste en hypotese,"vurdere om et forsøksdesign er egnet til å teste en gitt hypotese, blant annet ved å foreslå et riktig kontrollforsøk og forklare hvorfor andre faktorer må holdes konstante for å sikre sammenlignbare data.",kontrollert-forsok;uavhengig-avhengig-variabel,1,"Gi eleven en forsøksbeskrivelse (f.eks. et antibiotikaforsøk på bakteriekulturer i petriskåler) og be dem foreslå hvilket kontrollforsøk som bør gjennomføres, og begrunne hvorfor. Spør også hvorfor det er viktig at andre faktorer (utstyr, tid, mengde) holdes like mellom gruppene som sammenlignes."
formulere-hypotese,skill,Fagmetode og feltarbeid,Formulere en testbar hypotese ut fra data,"formulere en presis, testbar hypotese ut fra et gitt datasett eller forsøksoppsett.",hypotese,1,Gi eleven et enkelt datasett fra et forsøk (f.eks. mengde substrat/enzym og mengde produkt i ulike glass) og be dem formulere en hypotese som kan testes med akkurat disse dataene.
tolke-data-vurdere-hypotese,skill,Fagmetode og feltarbeid,Vurdere om data styrker eller svekker en hypotese,"vurdere om et gitt datasett styrker, svekker eller ikke sier noe om en hypotese, og begrunne vurderingen med henvisning til dataene.",formulere-hypotese,1;2,"Gi eleven en hypotese og et datasett eller en figur (f.eks. kopiantall av et gen i to populasjoner med ulikt kosthold) og be dem vurdere om dataene styrker eller svekker hypotesen, med begrunnelse."
representativt-utvalg,concept,Fagmetode og feltarbeid,Representativ prøvetaking,"Representativ prøvetaking: speiler området eller populasjonen det er hentet fra, slik at resultatet kan generaliseres. Forsøksruter må derfor plasseres tilfeldig eller systematisk spredt, ikke der den som leter forventer å finne noe - og antallet må være stort nok til at tilfeldig variasjon ikke tar overhånd.",,0,
planlegge-feltarbeid-datainnsamling,skill,Fagmetode og feltarbeid,Planlegge datainnsamling i feltarbeid,foreslå og begrunne hvordan man bør samle inn data i et feltarbeid (f.eks. plassering av forsøksruter) for å få et pålitelig resultat.,representativt-utvalg;vurdere-forsoksdesign,1,"Beskriv en feltarbeidssituasjon (f.eks. å telle individer av to plantearter i ruter i en skog) og be eleven foreslå hvordan rutene bør plasseres for å gi et pålitelig resultat, og begrunne svaret."
artsmangfold,concept,Fagmetode og feltarbeid,Artsmangfold,Artsmangfold: variasjonen av arter i et område eller økosystem.,,0,
abiotisk-og-biotisk-faktor,concept,Fagmetode og feltarbeid,Abiotisk og biotisk faktor,"Abiotisk faktor: en ikke-levende faktor i økosystemet, som temperatur, lys, pH, nedbør eller næringsstoffer.
Biotisk faktor: en faktor som skyldes levende organismer, som konkurranse, predasjon, parasittisme eller sykdom.",,0,
gjennomfore-feltarbeid-artsmangfold,skill,Fagmetode og feltarbeid,Beskrive metode og resultater fra feltarbeid om artsmangfold,"beskrive en metode som er brukt for å utforske artsmangfoldet i et økosystem, og gjøre rede for resultatene.",artsmangfold;planlegge-feltarbeid-datainnsamling,1,"Be eleven ta utgangspunkt i sitt eget feltarbeid (eller et tenkt eksempel) og beskrive metoden som ble brukt for å kartlegge artsmangfoldet, og gjøre rede for hva resultatene viste."
tilpasning-til-miljofaktor,skill,Fagmetode og feltarbeid,Forklare hvordan en art er tilpasset en miljøfaktor,velge en art og beskrive hvordan den er tilpasset en bestemt abiotisk eller biotisk faktor i økosystemet den lever i.,abiotisk-og-biotisk-faktor,1;2,"Be eleven velge en art (fra eget feltarbeid eller et kjent eksempel) og beskrive én konkret tilpasning arten har til en bestemt abiotisk eller biotisk faktor, og forklare hvorfor tilpasningen er nyttig for arten."
skissere-naeringsnett-fra-feltarbeid,skill,Fagmetode og feltarbeid,Skissere en næringskjede eller et næringsnett fra feltarbeid,skissere en næringskjede eller et næringsnett med konkrete artsnavn knyttet til et selvvalgt økosystem.,naeringsnett;artsmangfold,1,"Be eleven skissere en næringskjede eller et næringsnett med minst fire til seks artsnavn fra et selvvalgt eller kjent økosystem, og forklare hvordan energien går gjennom kjeden/nettet."
drofte-resultater-fra-feltarbeid,skill,Fagmetode og feltarbeid,Drøfte resultater og funn fra en biologisk problemstilling,"drøfte resultater og funn fra egen eller andres undersøkelse av en biologisk problemstilling, inkludert svakheter ved metoden og hvor sikre konklusjonene er.",gjennomfore-feltarbeid-artsmangfold;tolke-data-vurdere-hypotese,1;2,"Be eleven ta utgangspunkt i resultatene fra en undersøkelse (eget feltarbeid eller et gitt datasett) og drøfte hva resultatene faktisk viser, hvor sikre konklusjonene er, og hva som eventuelt svekker påliteligheten."
populasjon,concept,Populasjonsøkologi og forvaltning,Populasjon,Populasjon: individer av samme art som lever i samme område og kan formere seg med hverandre.,,0,
populasjonstetthet,concept,Populasjonsøkologi og forvaltning,Populasjonstetthet,Populasjonstetthet: antall individer av en art per areal- eller volumenhet.,populasjon,0,
fodselsrate-og-dodsrate,concept,Populasjonsøkologi og forvaltning,Fødselsrate og dødsrate,"Fødselsrate: antall fødte per individ per tidsenhet i en populasjon.
Dødsrate: antall døde per individ per tidsenhet.
Vekstrate: fødselsraten minus dødsraten. Er den positiv, vokser populasjonen; er den negativ, krymper den.",populasjon,0,
vekstrate-populasjon,concept,Populasjonsøkologi og forvaltning,Vekstrate til en populasjon,"Vekstrate til en populasjon: forteller hvor raskt populasjonen endrer størrelse, og den avhenger av forholdet mellom fødselsrate og dødsrate.",fodselsrate-og-dodsrate,0,
eksponentiell-vekst,concept,Populasjonsøkologi og forvaltning,Eksponentiell vekst,"Eksponentiell vekst: en populasjon vokser stadig raskere fordi vekstraten er tilnærmet konstant og uavhengig av populasjonsstørrelsen, typisk når ressursene er rikelige.",vekstrate-populasjon,0,
okologisk-bareevne,concept,Populasjonsøkologi og forvaltning,Økologisk bæreevne,"Økologisk bæreevne: den største populasjonsstørrelsen et område kan opprettholde over tid, gitt tilgangen på ressurser.",populasjonstetthet,0,
logistisk-vekst,concept,Populasjonsøkologi og forvaltning,Logistisk vekst,Logistisk vekst: en S-formet vekstkurve der veksten avtar etter hvert som populasjonen nærmer seg den økologiske bæreevnen.,eksponentiell-vekst;okologisk-bareevne,0,
tolke-og-skissere-vekstkurver,skill,Populasjonsøkologi og forvaltning,Tolke og skissere vekstkurver for populasjoner,"tolke og skissere vekstkurver for en populasjon ut fra informasjon om vekstrate, fødsels-/dødsrate eller økologisk bæreevne.",logistisk-vekst;vekstrate-populasjon,1;2,"Gi eleven en figur som viser sammenhengen mellom populasjonsstørrelse og vekstrate (fødselsrate minus dødsrate), og be dem velge eller skissere hvilken vekstkurve over tid dette gir opphav til, med begrunnelse."
tetthetsavhengig-faktor,concept,Populasjonsøkologi og forvaltning,Tetthetsavhengig faktor,"Tetthetsavhengig faktor: en faktor (f.eks. konkurranse om mat, smittsom sykdom, predasjon) hvis effekt på populasjonen øker med populasjonstettheten.",populasjonstetthet,0,
tetthetsuavhengig-faktor,concept,Populasjonsøkologi og forvaltning,Tetthetsuavhengig faktor,"Tetthetsuavhengig faktor: en faktor (f.eks. ekstremvær, naturkatastrofer) som påvirker populasjonen uavhengig av hvor tett den er.",populasjonstetthet,0,
forklare-regulering-av-populasjonsstorrelse,skill,Populasjonsøkologi og forvaltning,Forklare hvordan populasjonsstørrelse reguleres,"forklare hvordan tetthetsavhengige og tetthetsuavhengige faktorer regulerer størrelsen på en populasjon, og avgjøre hvilken type faktor som best forklarer en gitt endring.",tetthetsavhengig-faktor;tetthetsuavhengig-faktor,1;2,"Gi eleven en graf som viser endringer i populasjonsstørrelse over tid med et par markerte tidspunkt, og be dem vurdere om tetthetsavhengige eller tetthetsuavhengige faktorer best forklarer endringen ved hvert tidspunkt, med begrunnelse."
intraspesifikk-konkurranse,concept,Populasjonsøkologi og forvaltning,Intraspesifikk konkurranse,Intraspesifikk konkurranse: konkurranse om ressurser mellom individer av samme art.,populasjon,0,
interspesifikk-konkurranse,concept,Populasjonsøkologi og forvaltning,Interspesifikk konkurranse,Interspesifikk konkurranse: konkurranse om ressurser mellom individer av ulike arter.,populasjon,0,
r-selektert-art,concept,Populasjonsøkologi og forvaltning,R-selektert art,"En r-selektert art satser på antall: mange avkom, lite eller ingen yngelpleie, kort generasjonstid og ofte bare én reproduksjon i livet. Strategien lønner seg i ustabile miljøer, der mange dør uansett.",fodselsrate-og-dodsrate,0,
k-selektert-art,concept,Populasjonsøkologi og forvaltning,K-selektert art,"K-selektert art: satser på hvert enkelt avkom - få avkom, mye yngelpleie, sen kjønnsmodning og gjentatt reproduksjon gjennom livet. Strategien lønner seg i stabile miljøer nær bæreevnen, der konkurransen avgjør.",fodselsrate-og-dodsrate,0,
sammenligne-r-og-k-strategier,skill,Populasjonsøkologi og forvaltning,Sammenligne r-selekterte og K-selekterte livsstrategier,"sammenligne livsstrategiene til r-selekterte og K-selekterte arter, og avgjøre ut fra en beskrivelse av en art hvilken strategi den følger.",r-selektert-art;k-selektert-art,1,"Gi eleven en liste med påstander om livsstrategi (generasjonstid, yngelpleie, antall avkom, reproduksjonsmønster) og be dem avgjøre hvilke som kjennetegner en r-selektert eller K-selektert art."
interessekonflikt-forvaltning,concept,Populasjonsøkologi og forvaltning,Interessekonflikt i forvaltning av populasjoner,"Interessekonflikt i forvaltning av populasjoner: ulike grupper (f.eks. næring, friluftsliv, naturvern) har motstridende interesser i hvordan en populasjon skal forvaltes.",populasjon,0,
vurdere-forvaltningstiltak,skill,Populasjonsøkologi og forvaltning,Vurdere tiltak i forvaltningen av en populasjon,"vurdere ulike tiltak i forvaltningen av en populasjon (f.eks. jaktkvoter, fredning, kartlegging av populasjonsstørrelse eller leveområder), og avgjøre hvilke som kan føre til interessekonflikter.",populasjonstetthet;interessekonflikt-forvaltning,1,"Gi eleven en liste med forvaltningstiltak for en art (f.eks. fredningsperiode, kartlegging av bestand, begrensning av redskap/utstyr) og be dem vurdere hvilke av tiltakene som kan føre til interessekonflikter, med begrunnelse."
drofte-interessekonflikt-forvaltning,skill,Populasjonsøkologi og forvaltning,Drøfte en interessekonflikt knyttet til forvaltning,"drøfte en konkret interessekonflikt knyttet til forvaltningen av en populasjon, med argumenter fra flere sider av saken.",vurdere-forvaltningstiltak,1;2,"Be eleven velge en kjent interessekonflikt knyttet til forvaltning av en populasjon (f.eks. rovdyr og beitedyr, eller fiske og bestandsvern) og drøfte den ved å vise fram argumenter for og imot ulike tiltak."
trofisk-niva,concept,Energistrøm og stoffkretsløp,Trofisk nivå,"Trofisk nivå: et ledd i en næringskjede definert av hvordan organismene skaffer energi (produsent, konsument, nedbryter).",,0,
produsent,concept,Energistrøm og stoffkretsløp,Produsent,"Produsent: en organisme (f.eks. en plante) som lager sitt eget organiske stoff, vanligvis gjennom fotosyntese.",trofisk-niva,0,
konsument,concept,Energistrøm og stoffkretsløp,Konsument,"Konsument: en organisme som skaffer energi ved å spise andre organismer.
Primærkonsument: spiser produsenter, altså planter og alger. Sekundærkonsument: spiser primærkonsumenter. Tertiærkonsument: spiser sekundærkonsumenter.",trofisk-niva,0,
nedbryter,concept,Energistrøm og stoffkretsløp,Nedbryter,Nedbryter: en organisme som bryter ned dødt organisk materiale til uorganiske stoffer.,trofisk-niva,0,
naeringskjede,concept,Energistrøm og stoffkretsløp,Næringskjede,"Næringskjede: en rekke organismer der hver spiser den forrige, fra produsent via konsumenter.",produsent;konsument,0,
naeringsnett,concept,Energistrøm og stoffkretsløp,Næringsnett,"Næringsnett: flere sammenkoblede næringskjeder i et økosystem, der en art kan inngå i flere kjeder og på flere trofiske nivåer.",naeringskjede;nedbryter,0,
energipyramide,concept,Energistrøm og stoffkretsløp,Energipyramide,"Energipyramide: en framstilling av hvor mye energi som finnes på hvert trofiske nivå i et økosystem, og bare omtrent 10 % av energien overføres videre til neste ledd.",trofisk-niva,0,
biomassepyramide,concept,Energistrøm og stoffkretsløp,Biomassepyramide,Biomassepyramide: en framstilling av den totale biomassen på hvert trofiske nivå i et økosystem på et gitt tidspunkt.,trofisk-niva,0,
tallpyramide,concept,Energistrøm og stoffkretsløp,Tallpyramide,Tallpyramide: en framstilling av antall individer på hvert trofiske nivå i et økosystem.,trofisk-niva,0,
tolke-okologiske-pyramider,skill,Energistrøm og stoffkretsløp,"Tolke energi-, biomasse- og tallpyramider","tolke og skille mellom energi-, biomasse- og tallpyramider, og forklare hvorfor en pyramide i noen tilfeller kan være omvendt (f.eks. i vann, der produsentenes biomasse periodevis kan være mindre enn konsumentenes).",energipyramide;biomassepyramide;tallpyramide,1,"Gi eleven to ulike økologiske pyramider (f.eks. én for et landøkosystem og én for et vannøkosystem) og be dem avgjøre hvilken type pyramide (energi, biomasse eller tall) hver av dem best kan illustrere, med begrunnelse."
