id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,Percentages and growth factors;Loans and personal finance;Exponential functions;Statistics;Programming;Geometry;Equations and functions,,,
,config,,title,Mathematics 2P (English copy),,,
,config,,description,"Interactive skill tree for Mathematics 2P: tick off what you have mastered, and copy an AI instruction to practise further.",,,
,config,,language,en,,,
,config,,subjectFamily,mathematics,,,
,config,,storageKey,2p-en-skill-tree-completed,,,
,config,,features.motivation,true,,,
,config,,features.exams,true,,,
,config,,slots.courseName,Mathematics 2P (Norwegian upper secondary school),,,
,config,,slots.motivationSubject,maths,,,
,config,,slots.expressionFocus,"forgetting the per cent sign or other units, using the equals sign wrongly (e.g. chaining expressions together with ""="" that are not in fact equal, or using ""="" to mean ""next step"" rather than equality), or rounding too early or too imprecisely",,,
,config,,aids.label,Part,,,
,config,,aids.1.student,"No aids. You work by hand, without a calculator.",,,
,config,,aids.1.model,"Aids: This applies to Part 1 of the exam, where no aids are allowed. Expect the student to work by hand, without a calculator. The practice should reflect how the skill is actually to be carried out in the exam, under the aid rules that take effect in spring 2027 (no computer or tablet at all in Part 2 - only a simple scientific calculator, the student's own notes on paper, and printed aids).",,,
,config,,aids.2.student,"From spring 2027 this part is answered by hand. You may use a simple scientific calculator, your own notes on paper and printed aids — but no computer or tablet, and no graphing, equation-solving or programmable calculator.",,,
,config,,aids.2.model,"Aids: This applies to Part 2 of the exam, which from spring 2027 is to be answered by hand. Expect the student to use a simple scientific calculator (able to handle square roots, logarithms, sine/cosine/tangent and standard deviation), possibly together with their own notes and printed aids. Note: graphing calculators, and calculators that can solve equations, be programmed or communicate with other devices, are NOT permitted - nor is CAS software or a computer/tablet (e.g. GeoGebra). The practice should reflect how the skill is actually to be carried out in the exam, under the aid rules that take effect in spring 2027.",,,
prosent-av-tall,skill,Percentages and growth factors,Find a percentage of a number,work out how much a given percentage of a number amounts to.,,1,"Give the student a number and a percentage, and ask them to find that percentage of the number. No context or interpretation required, only the calculation itself."
prosent-desimal-brok,skill,Percentages and growth factors,"Convert between percentages, decimals and fractions","convert a number between percentage form, decimal form and fraction form.",,1,"Give the student numbers in one form (percentage, decimal or fraction) and ask them to convert to the other two. Purely mechanical practice."
prosentvis-endring-to-tall,skill,Percentages and growth factors,Find the percentage change between two numbers,"work out by how many per cent a value has increased or decreased, given the original and the new value directly (without being given a growth factor).",prosent-desimal-brok,1,"Give the student an original and a new value (e.g. an old and a new price) and ask them to find the percentage change. Pure calculation, a single numerical answer."
vekstfaktor-fra-prosent,skill,Percentages and growth factors,Find the growth factor from a percentage change,"work out the growth factor given a percentage increase or decrease, and conversely find the percentage change from a given growth factor.",prosentvis-endring-to-tall,1,"Give the student a percentage change and ask them to find the growth factor, or the other way round: given a growth factor, find the percentage change. Both directions should be practised."
sammensatt-endring,skill,Percentages and growth factors,Work out the result of several successive percentage changes,"multiply several growth factors together to find the total change, and explain why the order and the size of the changes do not cancel each other out symmetrically.",vekstfaktor-fra-prosent,1,"Give the student two or more successive percentage changes (e.g. down 20 % then up 20 %) and ask them to find the total change, and to justify whether the result is higher than, lower than or equal to the starting point."
tolke-produkt-av-vekstfaktorer,skill,Percentages and growth factors,Interpret an expression containing several growth factors,read a mathematical expression made up of several growth factors (possibly with exponents) and explain in words which price development or change the expression describes.,vekstfaktor-fra-prosent,1,"Give the student an expression such as 1.05 · 0.85^2 and ask them to explain in words which percentage changes the expression represents, in the right order."
pris-fra-indeks,skill,Percentages and growth factors,Calculate the price in a given year from a price index,work out the price of a good in a given year when the price in the base year and the index value are known.,vekstfaktor-fra-prosent;prisindeks-begrep,1,"Give the student the price in the base year and the index value for another year, and ask them to find the price in that other year. Pure calculation, a single numerical answer."
kpi-kjopekraft,skill,Percentages and growth factors,Convert between nominal and real wages using the CPI,use the consumer price index (CPI) for two different years to work out which nominal or real wage gives the same purchasing power.,pris-fra-indeks,1,"Give the student the CPI for two years and a wage in one of them, and ask them to find the wage that gives the same purchasing power in the other year. This requires the student first to identify the right method (index calculation) and then to interpret what 'the same purchasing power' means."
prisindeks-begrep,concept,Percentages and growth factors,Price index and base year,"A price index compares the price level in different years against a chosen base year, and the index is always 100 in the base year.",prosent-desimal-brok,0,
reversere-kjedet-vekstfaktor,skill,Percentages and growth factors,Reverse a product of growth factors,"interpret an expression in which a known value is divided by a product of several growth factors, and explain that this gives the value before those percentage changes took place.",tolke-produkt-av-vekstfaktorer,1,"Give the student an expression in which a known final value is divided by a product of two or more growth factors, and ask them to explain in words which price changes the expression reverses, and what the result of the calculation represents."
lengdeenheter-omgjoring,skill,Geometry,Convert between units of length,"convert between units of length such as mm, cm, m and km.",,1,"Give the student a length in one unit (mm, cm, m or km) and ask them to convert it to another, stated unit. Pure conversion practice, no context needed."
malestokk-begrep,concept,Geometry,Scale,"The scale of a drawing is the ratio between a length on the drawing and the corresponding length in reality, expressed in the same unit on both sides.",lengdeenheter-omgjoring,0,
bestemme-malestokk,skill,Geometry,Determine the scale of a drawing,determine the scale of a drawing given a length on the drawing and the corresponding length in reality.,malestokk-begrep,1,"Give the student a length on a drawing and the corresponding real length (in different units), and ask them to determine the scale in the form 1:n or n:1."
bruke-malestokk-til-lengde,skill,Geometry,Use a scale to work out a length,use a given scale together with one known length (on the drawing/model or in reality) to work out the corresponding unknown length.,malestokk-begrep,1,"Give the student a scale (e.g. 1:1100) and one known length (in reality or on a model/drawing), and ask them to work out the corresponding unknown length."
datasett-begrep,concept,Statistics,Data sets and observations,"Observation: one single measurement or one single answer.
Data set: all the observations together. It is the data set that is sorted, and the observations that are sorted within it - ascending or descending.",,0,
median-datasett,skill,Statistics,Find the median of a data set,"sort a data set and determine the median, both when the number of observations is odd and when it is even.",datasett-begrep,1;2,Give the student an unsorted data set (ideally with an odd number of values in one task and an even number in another) and ask them to determine the median. Require them to show the sorting.
gjennomsnitt-datasett,skill,Statistics,Calculate the mean of a data set,calculate the mean (the arithmetic average) of a data set.,datasett-begrep,1;2,Give the student a data set and ask them to calculate the mean by hand (add up the values and divide by how many there are).
variasjonsbredde,skill,Statistics,Determine the range,determine the range of a data set as the difference between the largest and the smallest value.,datasett-begrep,1,Give the student a data set and ask them to find the range.
typetall-modus,skill,Statistics,Determine the mode,"determine the mode of a data set - the value that occurs most often - and say when a data set has several modes, or none at all.",datasett-begrep,1,Give the student a data set and ask them to find the mode. Do include an example with two equally frequent values.
frekvens-begrep,concept,Statistics,Frequency and relative frequency,"Frequency is the number of times a value occurs in a data set, and relative frequency is the frequency expressed as a proportion (percentage) of the total number of observations.",datasett-begrep,0,
relativ-frekvens,skill,Statistics,Determine a relative frequency,"determine the relative frequency of a given value in a data set, express it as a percentage, and give a practical interpretation of the answer in the context the task describes.",frekvens-begrep;prosent-desimal-brok,1,"Give the student a concrete data set from a practical context and ask them to determine the relative frequency of one stated value, and then to explain in their own words what the answer means in that context."
lese-frekvenstabell,skill,Statistics,Read and use a frequency table,"read a frequency table, add up frequencies, and use the relationship between the total number of observations and the individual frequencies to determine or check a missing or claimed frequency.",frekvens-begrep,1,"Give the student a frequency table in which one frequency is missing or unknown, together with the total number of observations, and ask them to determine the missing frequency or to judge whether a claim about it holds."
sentralmal-fra-frekvenstabell,skill,Statistics,Determine the mean and the median from a frequency table,"determine the mean and the median of a data set given as a frequency table, by weighting each value by its frequency.",lese-frekvenstabell;gjennomsnitt-datasett;median-datasett,1,"Give the student a frequency table (value and count) and ask them to determine the mean and the median for the whole data set, showing the working."
kumulativ-frekvens-begrep,concept,Statistics,Cumulative frequency,"The cumulative frequency for a value is the sum of the frequencies up to and including that value (possibly expressed as a percentage), and it can be used to answer questions of the type «how many / what proportion are at most or at least X».",frekvens-begrep,0,
klassedelt-datasett-begrep,concept,Statistics,Grouped data,"A grouped data set is sorted into class intervals, and the frequency table only says how many observations fall in each interval. The individual observations are therefore lost: you know how many lie in a class, but no longer where in the class they lie.",datasett-begrep;frekvens-begrep,0,
tolke-kumulativ-frekvensdiagram,skill,Statistics,Interpret a cumulative frequency graph,read off and explain what the coordinates of a given point on a cumulative frequency graph tell us about the underlying data.,kumulativ-frekvens-begrep;klassedelt-datasett-begrep,1,"Show the student a cumulative frequency graph with one point marked, and ask them to explain in their own words what the coordinates of that point tell us about the data (e.g. what proportion lies below a given value)."
median-fra-kumulativ-frekvensdiagram,skill,Statistics,Estimate the median from a cumulative frequency graph,"use a cumulative frequency graph to estimate the median of grouped data, and can account for the fact that this requires an assumption that the values are evenly (linearly) distributed within each class.",tolke-kumulativ-frekvensdiagram;median-datasett,1,"Show the student a cumulative frequency graph for grouped data and ask them to read off an estimate of the median, and to state explicitly which assumption they are making for that reading to be valid."
