id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,Prosent og vekstfaktor;Lån og økonomi;Eksponentialfunksjoner;Statistikk;Programmering;Geometri;Likninger og funksjoner,,,
,config,,title,Matematikk 2P,,,
,config,,description,"Interaktivt ferdighetstre for matematikk 2P: huk av det du mestrer, og kopier en KI-instruks for å trene videre.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,mathematics,,,
,config,,storageKey,2p-ferdighetstre-fullfort,,,
,config,,features.motivation,true,,,
,config,,features.exams,true,,,
,config,,slots.courseName,matematikk 2P (norsk videregående skole),,,
,config,,slots.motivationSubject,matte,,,
,config,,slots.expressionFocus,"glemmer prosenttegn eller andre enheter, bruker likhetstegn feil (f.eks. kjeder sammen uttrykk med ""="" som ikke faktisk er like, eller bruker ""="" til å bety ""neste steg"" i stedet for likhet), eller runder av for tidlig eller upresist",,,
,config,,aids.label,Del,,,
,config,,aids.1.student,"Uten hjelpemidler. Du regner for hånd, uten kalkulator.",,,
,config,,aids.1.model,"Hjelpemidler: Dette gjelder del 1 av eksamen, uten hjelpemidler. Forvent at eleven regner for hånd, uten kalkulator. Treningen skal gjenspeile hvordan ferdigheten faktisk skal utføres på eksamen, med hjelpemiddelordningen fra våren 2027 (ingen datamaskin/nettbrett på del 2 i det hele tatt - kun en enkel vitenskapelig kalkulator, egne notater på papir og trykte hjelpemidler).",,,
,config,,aids.2.student,"Fra våren 2027 besvares denne delen for hånd. Du får bruke en enkel vitenskapelig kalkulator, egne notater på papir og trykte hjelpemidler — men ingen PC eller nettbrett, og ingen grafisk, likningsløsende eller programmerbar kalkulator.",,,
