id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,"Rekker;Rekursjon og programmering;Integrasjonsteknikker;Det bestemte integralet og fundamentalteoremet;Funksjonsdrøfting med derivasjon og integrasjon;Eksponentiell og logistisk vekst;Økonomisk modellering: kostnad, inntekt og grensestørrelser;Sannsynlighetsfordelinger: forventningsverdi, varians og simulering;Normalfordeling og sentralgrensesetningen;Hypotesetesting",,,
,config,,title,Matematikk S2,,,
,config,,description,"Rekker, integrasjon, funksjonsdrøfting, eksponentiell og logistisk vekst, økonomisk modellering, sannsynlighetsfordelinger, normalfordeling og hypotesetesting — dekomponert i det elevene faktisk må kunne gjøre, med hjelpemiddelordningen fra våren 2027 lagt til grunn.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,mathematics,,,
,config,,storageKey,s2-ferdighetstre-fullfort,,,
,config,,features.motivation,true,,,
,config,,features.exams,true,,,
,config,,slots.courseName,"matematikk S2 (norsk videregående skole, programfag realfag)",,,
,config,,slots.expressionFocus,"blander sammen det ubestemte og det bestemte integralet (glemmer konstanten C i et ubestemt integral, eller tar den unødvendig med i et bestemt integral), bruker ""="" mellom en tilnærmet og en eksakt verdi der ""≈"" er riktig (typisk ved digitalt bestemte modeller), glemmer å oppgi enhet ved tolkning av en deriverte eller et integral i en praktisk modell (f.eks. kr/uke, bakterier/dag), forveksler nullhypotese og alternativ hypotese eller formulerer dem upresist, skriver P(X = k) der de egentlig mener P(X ≥ k) eller omvendt, eller oppgir en forventningsverdi/varians/rentesats uten benevning",,,
,config,,slots.motivationSubject,matte,,,
,config,,aids.label,Del,,,
,config,,aids.1.student,"Uten hjelpemidler. Du regner for hånd, uten kalkulator — men du får en oppgitt tabell for standard normalfordeling der det er relevant.",,,
,config,,aids.1.model,"Hjelpemidler: Dette gjelder del 1 av eksamen, uten hjelpemidler. Forvent at eleven regner for hånd, uten kalkulator (men med tilgang på en oppgitt tabell for standard normalfordeling der det er relevant). Treningen skal gjenspeile hvordan ferdigheten faktisk skal utføres på eksamen, med hjelpemiddelordningen fra våren 2027 (ingen datamaskin/nettbrett på del 2 i det hele tatt - kun en enkel vitenskapelig kalkulator, egne notater på papir og trykte hjelpemidler). Eksamen tillater uansett ikke kunstig intelligens til å generere innhold i besvarelsen - denne treningsøkten er forberedelse, ikke eksamensgjennomføring.",,,
,config,,aids.2.student,"Fra våren 2027 besvares denne delen for hånd. Du får bruke en enkel vitenskapelig kalkulator, egne notater på papir og trykte hjelpemidler — men ingen PC eller nettbrett, og ingen grafisk, likningsløsende eller programmerbar kalkulator.",,,
