id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,title,Samfunnskunnskap Vg1,,,
,config,,description,"Samfunnsfaglig metode og kildekritikk, demokrati og medborgerskap, politikk og makt, identitet og sosialisering, mangfold og ulikhet, arbeidsliv, personlig økonomi, samfunnsøkonomi og internasjonale forhold — dekomponert i det elevene faktisk må kunne gjøre.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,social-sciences,,,
,config,,storageKey,samfunnskunnskapvg1-ferdighetstre-fullfort,,,
,config,,features.motivation,false,,,
,config,,slots.courseName,samfunnskunnskap Vg1 (norsk videregående skole),,,
,config,,slots.expressionFocus,"bruker «teori» eller «ideologi» i dagligtale-betydning i stedet for presist, forveksler skatt og avgift, blander sammen levestandard og livskvalitet, eller trekker en konklusjon («drøfter») uten å faktisk veie argumenter mot hverandre først",,,
samfunnsfaglig-metode,concept,Samfunnsfaglig metode og kildekritikk,Samfunnsfaglig metode,"Eleven vet hva som kjennetegner en samfunnsfaglig metode (for eksempel spørreundersøkelse, intervju eller statistikk), og hvordan den skiller seg fra en naturvitenskapelig metode.",,0,
kilde,concept,Samfunnsfaglig metode og kildekritikk,Kilde,"Eleven vet hva en kilde er i samfunnsfaglig sammenheng, og kan gi eksempler på ulike kildetyper: primær-/sekundærkilde, muntlig/skriftlig, digital.",,0,
kildekritikk,concept,Samfunnsfaglig metode og kildekritikk,Kildekritikk,"Eleven vet hva kildekritikk innebærer, og kjenner sentrale kriterier for å vurdere en kildes pålitelighet, som avsender, hensikt, dato og kontekst.",kilde,0,
ideologisk-stasted,concept,Samfunnsfaglig metode og kildekritikk,Ideologisk ståsted,"Eleven vet hva et ideologisk ståsted er, og kan gi eksempler på hvordan ulike ståsteder kan prege hvordan en sak fremstilles.",,0,
mening-verdi,concept,Samfunnsfaglig metode og kildekritikk,Mening og verdi,"Eleven vet forskjellen på en mening og en verdi, og kan gi eksempler på hver.",,0,
digitalt-spor,concept,Samfunnsfaglig metode og kildekritikk,Digitalt spor,"Eleven vet hva et digitalt spor er, og kan gi eksempler på hvordan egne spor oppstår i sosiale medier, nettbutikker og søkemotorer.",,0,
